Stock Name,RS Rating,Basic Industry,EPS Latest Quarter,QoQ % EPS Latest,YoY% EPS Latest,Sales Latest Quarter,QoQ % Sales Latest,YoY % Sales Latest
UDAICEMENT,30,Cement,0.07,121.2,-84.4,369.34,25.6,23.2
PRSMJOHNSN,28,Cement,0.96,154.2,9500,1858.54,10.3,7.5
BINANIIND,27,Cement,-0.12,29.4,90.7,0,-100,-100
KAKATCEM,26,Cement,-5.9,-755.6,-65.3,17.3,-21.5,-63.3
SAURASHCEM,25,Cement,-0.39,86.2,-132.8,377.5,27.4,-15.5
ACL,22,Cement,-4.74,-25.7,-106.1,66.33,20.8,-32.3
SANGHIIND,10,Cement,-3.75,50.4,51.3,258.96,70.9,36.9
APCL,9,Cement,-7,27.2,-264.6,105.31,50.2,-37
AMIORG,98,Chemicals Specialty,10.98,20.3,141.9,274.99,11.4,65.1
CAMLINFINE,97,Chemicals Specialty,-0.22,96.3,64.5,433.49,2.5,12.3
GRWRHITECH,97,Chemicals Specialty,26.17,-41.7,8.5,466.37,-24.9,2.8
KIRIINDUS,96,Chemicals Specialty,31.8,105.2,30.1,178.63,-34.4,-19.1
SHREEPUSHK,95,Chemicals Specialty,4.92,19.1,98.4,217.06,23.6,24.2
SRF,94,Chemicals Specialty,9.14,34.6,6.2,3491.31,2,14.4
NAVINFLUOR,93,Chemicals Specialty,16.86,42,6.7,606.2,16.9,21.2
VISHNU,93,Chemicals Specialty,5.25,50,62,371.22,8,22.3
EPIGRAL,91,Chemicals Specialty,24,23.8,101.2,645.24,3.1,36.8
HEUBACHIND,91,Chemicals Specialty,7.46,-6.5,163.6,212.98,-2.5,20.9
KINGFA,91,Chemicals Specialty,28.6,-7.1,42,440.37,5.3,11.8
SUDARSCHEM,91,Chemicals Specialty,0.07,-98.4,-96.8,666.43,-4.3,17.8
DICIND,90,Chemicals Specialty,7.79,259,200.8,219.22,-0.8,6.8
GHCL,89,Chemicals Specialty,17.59,8.8,67.5,778.73,-1.8,-2.5
PCBL,88,Chemicals Specialty,2.47,-24.5,-37,2010,-7.1,21.3
CHEMBOND,87,Chemicals Specialty,8.71,-15.5,-13.2,126.18,2.1,10
JGCHEM,87,Chemicals Specialty,4.33,2.6,NA,209.08,-1.4,29.5
NEOGEN,85,Chemicals Specialty,3.79,-8.7,689.6,201.43,4.2,22.4
AETHER,84,Chemicals Specialty,3.08,6.9,113.9,197.4,0.5,27
PRIVISCL,84,Chemicals Specialty,11.37,-0.5,37.7,490.87,-7.9,22.4
INDIAGLYCO,83,Chemicals Specialty,18.35,14.3,35.8,975.2,1.5,7.8
YASHO,81,Chemicals Specialty,-0.82,-121.4,-106.3,150.83,-8,16.1
ANURAS,80,Chemicals Specialty,2.56,68.4,46.3,390.14,32.7,32
BASF,80,Chemicals Specialty,23.93,-19.1,-26.2,3758.67,-11.5,13
DCMSHRIRAM,79,Chemicals Specialty,16.81,317.1,9,3366.81,13.8,10.9
LORDSCHLO,79,Chemicals Specialty,0.5,233.3,142,64.78,6.8,11.2
FLUOROCHEM,78,Chemicals Specialty,11.47,4,55.8,1148,-3.4,15.7
HSCL,78,Chemicals Specialty,2.88,5.1,16.6,1140.66,0.3,8.4
CHEMFAB,77,Chemicals Specialty,1.32,466.7,-77.2,83.62,2.1,-3.2
SOLARINDS,76,Chemicals Specialty,34.8,10.1,54.4,1973.08,15,38.1
20MICRONS,74,Chemicals Specialty,3.65,-21.5,12.3,214.65,-10.6,22.7
CLEAN,71,Chemicals Specialty,6.18,11.6,3.2,240.82,1.1,23.6
VINATIORGA,67,Chemicals Specialty,9.22,-10,22,521.67,-5.7,16.4
AMNPLST,66,Chemicals Specialty,1.77,-1.1,-4.3,190.79,14.5,8.8
BEPL,65,Chemicals Specialty,1.63,-14.2,1.2,345.84,-5.8,18.5
DMCC,64,Chemicals Specialty,3.16,35.6,1336.4,118.03,14.9,46.5
FOSECOIND,64,Chemicals Specialty,30.61,2.2,19.5,136.47,-3.1,11.5
OMKARCHEM,63,Chemicals Specialty,NA,NA,NA,NA,NA,NA
PIDILITIND,61,Chemicals Specialty,10.86,3.3,8.2,3368.91,4.1,7.6
IOLCP,59,Chemicals Specialty,3.5,7,-12.9,523.3,-0.5,0.5
NAHARPOLY,59,Chemicals Specialty,3.05,-56.9,250.2,172.95,2.6,12.5
ARVEE,57,Chemicals Specialty,0.14,-84.3,-54.8,8.91,-29.1,14.7
INDOBORAX,57,Chemicals Specialty,2.83,-1.4,6.8,37.51,-1.1,-15
SRHHYPOLTD,57,Chemicals Specialty,13.71,-9.4,40.6,138.47,-18.7,-35.5
KRISHANA,56,Chemicals Specialty,3.39,22.4,398.5,304.03,1.1,32
GULPOLY,54,Chemicals Specialty,1.09,419,36.3,609.76,38.4,64.3
ATUL,52,Chemicals Specialty,36.93,-20.5,53.1,1416.83,1.7,24.5
GALAXYSURF,52,Chemicals Specialty,18.22,-23.8,-9.9,1041.69,-2,10.8
BHAGERIA,52,Chemicals Specialty,2.96,91,49.5,171.6,32.6,53.2
IVP,51,Chemicals Specialty,1.83,-12.4,4,129.36,6,5.7
HPIL,50,Chemicals Specialty,0.26,-55.2,-63.4,20.46,0.8,34
GANESHBE,50,Chemicals Specialty,2.24,9.3,-5.9,55.02,1.2,-6.9
KRONOX,49,Chemicals Specialty,1.76,1.1,NA,24.01,-3.5,15.5
